Driver,Area,Warehouse
719,Mississuaga,895
743,Vaughan,202
746,Brampton,895
747,Richmond_Hill,202
748,Etobicoke,895
764,Downtown,202
789,North_York,202
842,York,202
855,Downtown,202
891,Etobicoke,895
949,Downtown,202
957,Downtown,202
961,Scarborough,202
965,Oshawa,东区
966,Oshawa,东区
967,Scarborough,202
973,Oshawa,东区
977,Scarborough,202
978,Richmond_Hill,202
1001,Oshawa,东区
1045,Oshawa,东区
1061,Markham,202
1086,Brampton,895
1121,Scarborough,202
1138,Scarborough,202
1139,Scarborough,202
1140,Etobicoke,895
1141,Scarborough,895
1142,Midtown,202
1179,Scarborough,202
1199,Markham,202
1208,Oshawa,东区
1221,Richmond_Hill,202
1259,Oshawa,东区
1278,Richmond_Hill,202
1280,Vaughan,202
1287,Downtown,202
1290,Richmond_Hill,202
1291,Oshawa,东区
1304,Richmond_Hill,202
1315,Scarborough,202
1316,Oshawa,东区
1399,Richmond_Hill,202
1404,Jason,内部
1426,Anson,内部
1440,Scarborough,202
1502,Bruce,内部
1518,Oshawa,东区
1523,Vaughan,202
1532,Mississuaga,895
1567,North_York,202
1576,Scarborough,202
1577,Scarborough,202
1581,Etobicoke,895
1588,Mississuaga,895
1601,Kitchener,101
1603,Cambridge,I区
1603,Kitchener,101
1604,Kitchener,101
1605,Cambridge,I区
1638,Mississuaga,895
1652,Mississuaga,895
1669,Markham,202
1682,Markham,202
1693,Kitchener,101
1707,Scarborough,202
1712,Mississuaga,895
1725,Mississuaga,895
1728,Mississuaga,895
1731,Cambridge,I区
1731,Kitchener,101
1753,Mississuaga,895
1754,Mississuaga,895
1755,Kitchener,101
1756,Kitchener,101
1765,Cambridge,I区
1767,East_York,202
1770,Richmond_Hill,202
1782,Mississuaga,895
1784,Cambridge,I区
1788,Scarborough,202
1789,Downtown,202
1798,Dannis,内部
1812,Oshawa,东区
1918,Brampton,895
1932,Scarborough,202
1945,Downtown,202
1952,Brampton,895
1970,Mississuaga,895
1981,不给,895
1982,Etobicoke,895
2024,Scarborough,202
2028,Scarborough,202
2041,Etobicoke,895
2043,Mississuaga,895
2067,Markham,202
2072,Scarborough,202
2091,Scarborough,202
2092,Scarborough,202
2096,Brampton,895
2098,Midtown,202
2111,Brampton,895
2149,Brampton,895
2151,East_York,202
2189,Etobicoke,895
2203,Brampton,895
2209,York,202
2220,Brampton,895
2221,Richmond_Hill,202
2238,Mississuaga,895
2290,不给,895
2315,Markham,202
2339,Scarborough,202
2345,Brampton,895
2354,John,内部
2385,Richmond_Hill,202
2386,Markham,202
2400,North_York,202
2418,Mississuaga,895
2420,East_York,202
2435,Oshawa,东区
2436,Oshawa,东区
2457,Etobicoke,895
2460,c,202
2462,North_York,202
2474,Oshawa,东区
2475,North_York,202
2552,Kitchener,101
2559,不给,895
